Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
19,83,8,77,1,4,66
16,75,5,86,0,1,62
14,81,5,58,3,4,66
18,95,8,54,2,3,70
31,96,8,93,3,3,75
24,71,6,91,3,2,67
17,78,9,76,4,2,66
23,82,6,83,2,3,71
28,98,7,86,2,2,75
26,100,7,74,1,2,72
20,69,7,63,2,2,64
16,89,9,74,1,3,65
24,75,5,98,1,3,67
22,60,6,92,2,2,63
25,60,5,73,1,2,62
24,78,10,61,2,4,69
26,80,7,94,1,2,70
17,61,6,82,0,4,63
28,87,7,70,2,2,71
21,72,8,56,0,4,63
32,82,8,88,0,2,71
16,72,6,66,0,4,63
30,67,6,80,0,4,68
21,76,5,78,0,3,65
16,69,7,85,0,3,66
17,81,9,77,3,4,66
18,68,6,82,0,3,66
23,80,8,54,0,2,65
23,66,6,83,0,2,66
17,87,5,60,4,3,67
20,90,8,70,0,3,68
33,64,10,76,2,3,68
30,79,8,84,3,3,69
23,63,6,87,1,2,64
20,84,6,85,0,3,67
21,71,10,55,1,4,63
24,81,7,69,3,3,67
14,81,6,64,2,2,64
18,97,7,70,0,2,66
10,82,7,82,2,4,65
22,83,8,60,4,2,68
24,76,9,75,0,5,66
17,98,9,94,0,3,71
29,91,7,87,2,4,74
13,71,7,86,2,3,65
11,94,8,92,0,4,68
21,77,6,70,2,2,68
26,93,8,88,1,4,72
30,93,7,53,3,2,74
17,68,8,53,0,2,61
26,88,10,67,0,3,65
20,72,8,60,0,5,63
19,72,7,76,1,2,66
25,72,6,59,2,3,66
24,89,7,99,2,4,73
11,69,5,93,0,4,63
29,60,8,99,0,4,68
28,89,4,90,3,2,73
16,67,8,98,0,3,63
22,64,8,68,2,4,65
23,70,7,75,0,4,66
22,75,6,62,0,3,65
17,79,7,82,0,2,66
16,62,4,89,3,3,65
20,99,8,75,2,2,70
27,89,7,65,1,3,70
23,73,9,75,0,3,68
18,73,8,53,1,3,64
25,78,7,86,1,3,68
3,85,8,73,2,3,62
27,66,6,95,1,3,68
10,68,6,96,1,3,61
18,94,7,56,1,3,69
13,70,7,100,3,3,65
12,75,6,98,2,2,65
27,95,7,81,3,2,72
17,87,7,91,3,3,70
22,74,10,51,1,4,65
20,87,7,99,3,3,69
23,61,6,73,1,3,65
20,89,7,95,3,2,69
12,79,9,69,2,3,65
26,93,9,89,0,3,72
17,98,10,71,0,3,70
11,97,7,68,0,2,64
17,96,8,97,0,3,67
29,80,5,85,0,2,69
25,74,6,92,4,3,70
18,79,5,77,1,3,65
18,88,8,96,1,3,69
18,95,7,87,5,2,74
32,68,7,54,1,1,66
22,97,6,88,1,4,72
23,93,8,51,0,1,67
26,99,4,91,2,4,75
21,95,7,67,3,2,70
18,71,7,80,1,4,63
19,64,4,87,2,4,65
20,64,8,82,3,3,64
20,72,7,84,2,2,65
24,85,8,95,2,4,70
20,92,10,69,0,2,67
24,96,7,77,0,2,67
20,85,8,59,1,3,68
20,60,9,73,4,4,65
8,67,8,58,2,1,61
25,64,6,82,2,3,63
22,75,5,66,2,2,80
26,80,8,93,2,1,69
3,62,6,67,1,3,55
33,74,9,64,2,4,70
19,67,6,75,1,3,65
27,86,7,59,1,3,68
14,79,5,60,3,5,64
24,80,6,89,1,3,69
14,77,6,75,1,4,89
16,98,6,60,1,3,67
31,69,7,52,2,5,92
19,81,6,73,1,3,67
21,89,10,87,3,3,70
25,82,8,68,1,3,68
23,97,9,62,0,2,70
21,75,7,70,3,4,67
22,79,7,98,0,3,69
34,64,6,71,0,4,67
20,84,10,63,0,4,69
21,72,7,78,0,1,63
26,66,6,91,3,3,69
27,82,6,51,1,3,66
27,81,8,78,0,3,68
24,63,9,92,4,4,69
13,88,9,61,4,3,66
30,85,6,96,1,4,72
13,68,6,79,1,3,62
22,79,9,76,1,2,67
15,89,10,98,0,2,67
20,81,7,56,1,3,67
22,76,9,87,2,3,65
22,73,5,91,1,3,67
23,84,6,74,3,1,66
30,98,5,50,0,2,70
23,87,8,76,2,5,71
19,63,7,58,2,3,64
26,78,7,78,4,4,69
27,96,9,87,0,2,72
13,64,6,77,0,4,60
24,100,7,82,1,3,71
24,98,5,55,0,3,71
18,63,9,55,2,2,66
28,97,9,93,3,3,74
19,75,8,52,0,4,64
21,94,7,64,2,2,68
19,77,6,97,4,2,66
20,78,5,73,1,3,65
13,85,7,84,0,5,64
11,91,8,61,1,3,65
30,61,10,64,4,2,69
15,84,6,75,2,4,68
14,67,7,82,1,3,62
7,74,9,98,3,2,63
16,74,9,79,0,4,65
12,79,6,55,1,4,62
30,73,7,68,0,2,67
26,64,6,62,1,5,64
16,66,6,63,2,3,61
34,61,9,75,1,2,65
26,79,7,66,1,5,67
18,98,7,64,0,4,70
5,65,7,98,1,3,59
34,98,7,79,1,4,75
12,89,7,63,4,2,67
10,85,6,64,1,3,64
26,86,9,91,3,3,72
35,93,6,94,5,2,76
28,64,6,84,2,2,69
23,80,7,72,0,5,65
24,88,10,88,2,1,72
25,83,6,97,0,4,69
25,93,8,58,0,4,71
22,63,7,93,0,2,64
21,88,7,92,2,3,74
20,81,8,68,0,3,68
15,75,4,65,1,4,66
18,74,6,78,0,2,65
10,85,8,64,2,3,67
19,96,7,57,0,3,69
14,80,7,98,2,2,66
13,93,8,75,1,2,69
21,76,6,74,2,3,67
28,64,9,56,1,2,64
26,62,8,75,2,2,67
11,62,7,87,3,3,61
14,75,8,62,0,2,61
26,73,9,68,4,2,68
14,89,6,59,2,5,66
19,90,8,68,0,4,66
23,62,10,93,2,4,68
14,69,8,62,1,2,63
21,71,7,51,3,3,66
12,82,10,77,0,4,66
16,66,7,79,0,3,66
22,65,9,66,2,4,65
10,98,6,82,2,2,69
23,92,9,52,1,2,71
20,67,6,67,1,2,66
23,76,7,57,1,3,66
21,74,6,61,0,4,65
28,92,10,69,4,4,71
21,80,7,75,3,2,69
17,65,5,55,2,3,61
21,90,7,55,1,4,70
23,76,8,84,2,4,70
20,71,7,70,0,4,65
20,75,6,59,2,1,64
16,80,9,62,0,4,68
16,74,9,86,1,2,63
12,70,5,53,2,3,63
30,76,6,75,3,3,71
13,61,7,68,1,2,58
16,91,6,91,1,2,68
16,67,8,90,1,4,65
25,62,10,84,2,3,65
18,86,6,69,2,2,68
27,91,9,82,0,1,69
16,93,5,82,5,1,71
22,80,8,67,2,2,65
15,68,6,94,0,5,64
33,89,8,99,2,4,75
13,88,4,66,1,4,67
22,70,5,90,1,3,68
24,96,8,75,1,1,72
22,64,6,73,3,4,67
19,99,7,69,1,3,72
19,94,10,65,1,3,69
20,88,7,96,0,3,68
19,98,8,87,0,6,70
26,89,6,72,1,3,69
33,68,5,88,2,1,67
17,78,7,86,0,3,63
12,63,5,63,4,2,61
19,76,6,59,1,3,66
35,90,7,92,0,4,73
15,75,7,91,0,3,67
30,73,8,100,2,2,72
30,84,8,51,1,4,69
17,95,5,77,2,4,69
23,62,6,85,1,3,63
30,75,4,79,0,4,67
18,66,6,86,0,2,63
19,88,8,57,1,4,66
17,64,9,50,2,4,62
14,87,7,55,2,4,68
16,71,9,69,1,4,65
13,68,8,66,0,4,59
20,97,7,94,1,1,72
15,61,6,54,0,2,63
21,78,4,72,1,4,68
11,61,9,98,0,2,61
22,79,7,75,1,3,65
25,80,9,57,2,3,68
8,73,6,65,1,4,61
22,65,10,81,1,3,63
27,75,7,51,1,2,67
13,87,6,98,0,3,66
30,91,7,78,3,2,75
23,81,7,85,0,4,68
16,84,7,75,2,3,65
20,68,6,98,0,4,64
23,71,4,79,2,3,67
20,66,6,83,2,3,64
23,70,9,93,0,2,67
14,69,6,93,2,0,63
21,81,4,51,0,2,67
12,83,5,64,1,2,65
19,98,7,62,1,2,70
15,68,6,50,2,3,62
16,86,7,94,2,3,69
27,93,6,66,2,3,70
27,82,9,67,1,2,68
24,70,8,55,4,4,68
13,71,10,99,0,3,64
18,62,6,91,4,1,63
27,72,7,79,2,2,68
21,90,9,89,1,2,67
34,62,8,89,3,4,68
22,69,6,83,1,2,66
21,88,8,59,2,1,67
18,91,8,86,1,4,69
21,78,4,78,2,3,68
19,88,6,86,4,3,70
24,76,7,77,3,4,68
26,66,9,98,2,2,66
15,76,8,81,2,4,67
12,83,6,79,1,4,65
9,98,6,92,0,5,67
23,63,8,69,2,4,63
13,80,4,66,2,2,64
7,73,6,75,3,3,64
22,80,9,79,0,3,66
35,61,7,61,2,4,68
20,73,6,84,0,3,67
25,93,5,90,1,2,72
20,82,8,79,1,4,67
19,78,7,76,2,3,66
26,71,7,65,1,3,66
18,72,8,95,1,4,67
22,75,7,88,0,3,65
22,93,7,74,2,3,70
16,99,5,83,0,4,69
26,78,5,67,1,3,69
19,76,8,53,1,4,66
15,94,8,60,2,4,66
23,77,8,54,1,3,67
15,82,6,75,1,3,67
20,69,8,81,2,4,67
20,90,6,69,2,3,72
27,81,9,77,1,4,68
23,92,6,54,3,2,70
20,91,6,88,1,4,69
25,69,7,52,1,4,65
28,89,8,82,0,3,72
23,92,7,72,0,4,69
20,74,7,59,5,4,68
12,67,6,76,1,2,62
14,60,7,89,2,3,60
18,78,7,71,3,4,67
16,74,6,68,2,4,67
19,82,7,57,1,3,67
20,68,7,80,0,4,63
23,94,10,91,1,3,71
20,70,6,78,0,2,66
23,69,6,58,0,1,65
20,79,7,83,2,2,69
8,80,6,52,2,1,63
14,69,5,92,3,2,64
19,71,5,96,2,0,67
13,67,6,80,1,2,62
24,89,6,94,2,2,68
29,91,5,54,2,3,71
27,78,7,61,1,3,66
19,89,4,66,1,1,69
29,89,8,89,1,4,71
21,66,6,74,2,4,66
18,99,6,67,5,3,72
16,93,8,58,1,4,70
18,68,8,91,1,3,65
18,67,6,51,0,2,64
21,65,8,67,1,2,63
21,66,9,62,3,2,63
20,90,5,56,3,2,66
23,79,8,59,1,4,68
27,91,5,75,1,4,74
26,90,9,71,0,2,71
11,84,6,76,3,3,67
5,87,6,86,2,3,66
26,61,9,95,0,6,67
12,72,8,56,3,1,62
19,86,6,54,1,5,68
13,60,7,66,2,3,62
9,61,6,77,1,2,82
23,94,5,55,2,2,70
25,87,7,86,4,2,72
17,71,6,78,0,4,64
4,88,6,87,1,4,66
17,92,9,68,0,3,68
22,72,6,70,1,3,64
11,61,7,90,0,3,61
21,97,9,63,0,1,69
20,74,7,69,2,2,68
23,64,6,51,1,5,64
21,80,7,78,1,4,67
14,91,8,93,0,3,67
27,69,8,51,1,2,65
19,71,10,81,2,3,68
20,70,6,92,2,3,67
14,100,7,75,1,3,67
17,68,5,66,1,4,64
15,83,8,100,0,3,70
19,97,7,53,2,3,69
30,66,7,61,0,2,66
12,99,6,94,2,3,69
10,98,6,65,1,2,66
29,95,7,91,1,3,73
19,69,6,67,4,4,66
16,85,7,91,0,2,69
26,90,7,84,1,3,70
16,99,5,73,1,5,71
31,67,5,76,2,4,70
24,91,6,59,0,4,69
17,74,9,56,1,3,63
33,67,6,86,4,3,71
16,77,7,92,2,2,67
24,92,5,86,3,2,73
22,79,6,96,1,2,68
28,82,5,95,0,3,69
29,100,8,89,2,3,76
20,76,5,95,4,3,68
15,85,8,58,1,3,65
23,75,8,87,0,1,66
16,76,7,88,0,2,65
32,88,8,58,3,3,69
21,98,10,95,0,1,71
18,82,8,50,1,3,66
21,91,5,72,3,3,69
12,64,9,51,2,4,59
14,68,7,76,2,3,65
27,80,10,71,4,2,72
16,61,6,81,0,2,60
14,70,9,88,0,4,64
23,81,7,88,1,4,69
27,61,10,86,3,3,70
24,71,7,55,2,3,67
26,81,10,71,0,5,67
15,83,8,91,0,3,64
11,97,8,83,4,2,68
29,86,10,84,1,4,72
18,77,6,61,1,3,65
18,97,8,66,2,2,70
28,91,7,98,2,5,75
23,68,7,92,3,4,65
23,65,7,58,1,3,63
33,87,8,77,0,3,71
16,82,8,75,2,2,66
26,92,6,72,1,3,69
20,90,7,74,0,3,68
22,85,4,82,1,2,71
29,99,8,98,5,2,77
23,81,10,94,1,2,70
23,65,7,94,1,3,66
26,93,5,85,1,3,73
18,70,8,51,1,3,62
15,91,6,72,0,2,65
14,98,7,76,0,2,71
8,88,8,92,1,4,66
32,84,8,96,1,3,72
13,78,9,73,0,4,64
19,75,7,65,0,4,63
18,74,7,67,0,3,63
22,85,8,79,5,2,72
25,90,7,64,2,2,71
25,87,6,96,3,2,72
17,68,8,71,1,2,65
19,80,5,100,0,3,67
22,92,7,55,1,4,68
19,79,5,59,2,2,66
30,81,6,76,0,3,72
23,91,6,93,3,3,71
24,86,6,68,3,3,70
24,76,9,92,1,3,68
27,96,9,71,0,4,72
21,67,9,93,1,3,66
12,100,7,64,1,6,69
22,65,6,74,2,1,65
16,61,8,64,1,3,62
17,96,7,61,1,1,69
24,70,7,71,1,4,65
27,89,4,67,2,4,69
20,92,8,89,1,3,69
22,94,8,87,2,5,73
30,100,7,68,2,2,75
21,72,8,100,3,3,70
36,88,8,99,0,3,74
23,65,6,96,0,3,65
9,76,7,79,1,3,63
25,94,5,71,4,4,74
22,75,9,66,0,2,67
28,84,8,51,3,4,71
24,80,6,82,1,3,68
19,86,8,78,2,4,69
13,99,7,81,0,4,71
19,62,6,79,7,2,66
15,83,7,57,0,3,65
17,95,8,85,1,2,66
24,79,8,68,2,2,65
30,63,10,76,1,4,67
22,82,7,68,2,4,70
13,73,7,51,1,4,63
23,66,8,94,1,3,64
27,94,7,57,1,1,71
16,81,6,79,2,3,68
19,97,6,94,2,4,72
20,92,4,61,2,4,71
15,88,8,71,1,2,64
24,60,5,69,1,5,64
19,77,6,54,3,2,66
23,68,7,71,3,3,68
15,96,7,74,2,2,68
17,67,10,51,3,5,65
24,71,5,74,1,3,67
18,81,10,55,3,2,64
30,71,9,95,1,4,70
18,68,8,83,1,2,65
21,84,9,53,2,3,65
26,64,8,91,1,4,68
11,62,4,68,2,3,61
9,75,8,61,3,3,63
11,89,5,63,0,2,65
28,82,6,80,1,5,69
17,77,7,54,1,2,64
35,83,6,53,1,2,69
17,75,8,81,3,3,67
21,97,7,99,1,1,74
29,62,8,74,1,3,66
32,87,7,71,0,4,72
32,96,7,97,1,5,73
27,92,6,62,0,4,73
26,67,5,62,0,2,63
24,72,7,95,3,2,69
25,89,6,82,2,6,71
17,63,9,53,1,4,63
15,92,5,84,0,5,69
20,89,10,91,3,3,72
19,89,7,64,2,4,68
17,64,7,69,1,3,62
24,89,6,60,1,2,68
26,87,8,82,1,2,71
21,93,7,83,1,3,67
29,62,7,53,0,3,65
13,61,8,84,1,3,60
19,75,8,83,2,2,68
16,66,9,52,1,3,59
9,82,8,78,0,0,64
20,97,6,81,2,3,71
19,76,4,72,2,2,68
29,94,7,95,2,3,70
24,60,7,66,1,4,62
14,67,10,53,2,3,62
31,61,7,84,2,3,68
27,73,8,80,3,3,68
23,96,8,99,3,4,74
19,64,8,62,0,4,61
14,84,8,70,1,5,67
18,78,6,73,1,2,65
27,98,6,93,5,3,101
31,65,7,71,1,4,65
29,68,4,89,0,4,67
17,61,7,58,2,3,61
13,77,6,70,3,4,64
21,71,7,58,1,3,64
9,95,7,97,1,2,67
22,84,5,59,0,3,69
19,85,9,71,1,2,69
17,81,7,54,4,3,67
10,64,8,96,1,3,62
23,78,7,81,0,1,66
17,100,8,98,0,4,72
13,93,5,52,2,3,67
3,96,9,59,2,3,66
20,93,8,69,2,4,67
31,64,7,81,1,4,67
30,69,7,66,0,4,68
17,60,9,86,0,2,63
16,72,6,58,1,2,62
23,64,5,80,3,2,65
14,79,6,70,1,6,65
22,87,7,75,0,2,70
25,95,7,78,7,4,73
27,90,9,53,1,2,73
19,98,6,96,2,2,68
19,62,6,89,3,1,63
15,60,5,72,2,2,62
15,86,8,77,0,3,69
19,72,5,52,2,3,66
22,70,8,75,0,3,68
25,73,6,71,0,3,67
15,71,6,69,2,4,65
29,80,10,91,1,3,70
18,78,9,59,0,1,64
20,80,7,59,2,3,65
16,87,5,76,1,2,67
5,75,10,84,0,4,62
25,70,7,51,3,4,66
24,67,7,77,0,2,68
18,74,8,65,0,4,64
20,90,4,88,3,3,69
23,90,6,73,1,2,69
11,87,7,92,1,5,67
17,69,7,70,0,3,61
25,84,5,91,1,4,70
12,83,7,86,1,4,65
22,79,7,91,0,4,66
12,82,10,91,3,3,66
23,80,9,74,4,3,69
20,83,7,68,1,1,67
10,89,7,88,2,2,71
27,64,9,68,1,4,68
16,90,7,54,2,3,67
15,65,5,93,2,4,63
21,63,10,70,1,2,64
27,99,6,57,3,3,73
14,98,10,82,1,3,69
20,62,8,94,1,3,65
23,78,6,93,0,5,70
24,67,4,78,1,2,67
21,79,8,54,3,3,67
18,93,5,85,0,3,70
15,98,8,80,2,2,69
21,85,10,61,2,2,68
14,74,5,95,1,3,66
2,84,8,54,3,4,62
23,72,6,69,2,4,67
25,96,9,55,2,4,71
6,95,7,96,4,2,68
14,82,7,52,3,2,66
24,73,9,71,0,3,64
32,72,8,93,1,4,71
20,61,6,63,1,4,61
16,93,10,55,2,2,67
19,78,5,56,3,4,65
28,73,7,70,0,6,66
16,79,6,71,2,4,68
15,93,5,86,0,2,66
17,65,5,62,2,4,63
14,94,7,85,1,3,66
21,96,8,100,1,2,73
30,98,9,93,1,3,88
22,76,9,82,0,4,67
18,69,7,97,2,2,69
18,75,6,100,2,3,67
11,73,9,79,1,2,64
25,67,6,64,0,2,64
20,84,5,96,1,2,65
19,79,8,92,1,2,68
39,95,9,54,2,3,77
22,61,6,97,0,2,63
15,86,10,68,0,5,69
17,91,8,66,3,2,69
27,90,8,67,2,3,70
21,95,6,66,1,4,73
11,89,9,76,1,3,66
26,97,5,79,2,3,71
16,73,6,71,2,5,66
31,80,6,71,2,3,71
26,61,5,87,3,2,66
17,60,8,50,0,4,63
28,70,8,97,5,5,70
20,64,8,86,1,2,66
25,70,7,85,1,4,66
23,67,8,71,2,4,66
15,61,7,98,1,3,62
16,96,6,50,1,3,69
26,60,6,54,1,1,63
18,89,4,90,1,2,68
18,66,9,87,1,3,64
14,96,9,64,2,3,69
23,96,10,80,3,3,71
32,86,6,77,2,4,71
14,87,6,76,1,4,66
20,60,4,80,2,3,63
28,99,8,100,0,2,72
20,95,8,99,1,3,70
23,96,9,99,0,2,71
14,86,6,77,3,3,65
23,74,8,66,0,4,65
19,96,6,78,1,2,67
26,72,9,81,0,3,68
27,83,8,66,3,4,70
36,64,5,82,2,2,70
23,97,7,81,2,3,72
22,66,4,95,1,5,65
21,69,5,62,2,3,65
18,82,5,85,3,4,71
22,91,6,73,3,4,74
18,85,7,56,0,4,64
21,69,7,66,1,4,64
28,60,7,53,3,3,65
14,90,7,66,1,5,67
27,99,7,53,2,3,73
28,92,5,96,1,3,72
19,78,7,55,0,3,65
7,96,9,91,0,4,67
16,76,7,95,2,3,66
28,81,8,73,0,3,70
20,79,8,53,2,3,66
14,78,8,80,1,1,66
17,91,7,62,3,3,68
25,81,8,59,3,4,68
23,73,8,78,0,4,67
19,70,8,68,1,3,65
18,62,8,87,4,4,64
18,83,5,80,1,2,70
14,69,5,91,0,3,63
30,66,6,53,2,2,65
18,86,9,62,4,2,67
27,87,7,78,3,5,71
29,90,7,94,1,4,73
26,80,4,91,1,3,67
17,96,7,84,2,3,72
22,97,7,79,2,0,71
20,92,4,82,0,4,72
15,85,7,61,1,3,68
22,72,5,80,2,3,65
13,99,6,75,1,4,68
27,71,8,69,1,4,67
17,68,7,94,1,4,66
21,78,6,91,0,1,64
22,62,6,54,3,3,65
18,99,6,99,0,3,69
24,84,7,61,2,2,68
17,82,5,61,3,4,69
25,86,9,97,1,3,70
12,80,5,72,1,4,65
21,61,4,90,2,3,63
32,84,8,64,1,3,71
14,89,6,94,0,2,68
16,77,7,92,5,3,70
23,90,8,76,2,3,72
21,69,6,85,3,1,64
22,69,7,98,0,2,64
23,66,8,73,2,2,66
24,75,9,75,0,3,69
27,94,6,86,2,2,71
22,93,6,69,0,3,69
19,75,8,98,1,3,67
24,84,7,52,0,3,66
31,89,7,70,2,2,71
19,70,9,86,2,2,63
14,67,4,71,0,4,62
27,99,5,63,0,4,73
19,85,4,71,1,3,66
7,99,9,94,3,2,72
25,74,8,77,1,2,67
17,88,5,67,0,3,65
19,69,7,84,2,4,66
22,70,7,81,3,2,68
21,80,4,78,1,4,69
24,73,7,70,0,3,68
17,67,5,54,0,2,61
23,71,8,81,3,2,68
18,61,5,71,3,3,64
24,88,7,71,1,3,67
24,80,9,62,3,3,68
14,64,8,62,1,4,61
27,67,8,89,1,3,66
17,64,7,74,2,2,64
25,85,5,55,3,3,67
22,64,6,52,2,4,64
31,90,7,61,0,3,72
19,61,7,74,2,3,62
18,70,5,81,2,2,63
20,96,8,57,1,4,70
18,89,5,72,3,3,69
25,63,9,54,3,2,64
10,93,7,52,2,3,66
14,80,8,93,3,4,67
14,94,8,83,4,5,71
26,84,10,89,0,1,70
30,87,7,59,2,3,69
19,100,6,66,0,3,68
19,69,6,72,1,1,64
20,85,9,83,3,3,70
27,78,5,77,0,3,69
14,62,6,78,0,2,63
21,61,7,58,1,3,60
26,65,7,74,2,4,65
23,86,8,91,0,0,67
21,83,5,75,1,4,66
26,82,7,60,3,3,68
4,61,7,71,0,1,58
24,79,5,88,0,3,67
16,97,8,57,0,4,68
9,76,7,79,1,3,62
23,85,7,98,2,3,69
28,91,6,69,1,4,73
19,91,6,52,2,4,66
26,81,5,82,0,5,67
30,94,8,52,1,4,71
28,76,9,60,1,2,66
30,96,10,52,0,4,74
24,70,8,59,2,5,67
20,71,6,93,2,2,68
10,62,6,87,2,3,61
19,92,8,67,2,2,69
15,77,7,95,4,4,65
33,69,7,83,2,2,71
19,69,7,72,1,2,61
21,96,9,53,0,3,70
23,93,6,87,2,3,70
20,82,9,69,1,3,69
30,85,7,65,2,3,70
16,79,6,64,4,4,67
21,76,6,50,2,4,63
16,97,7,87,1,3,70
12,65,8,57,1,5,61
16,77,6,76,1,1,64
20,74,8,51,2,3,65
17,80,6,81,1,1,65
16,78,7,68,3,3,66
12,81,5,82,1,3,66
20,66,8,54,2,2,63
11,81,7,63,3,2,66
25,70,9,56,0,1,64
20,67,8,82,3,4,65
11,63,7,55,3,1,62
18,91,9,81,4,5,71
15,77,8,57,1,2,63
22,85,9,97,0,3,70
28,89,6,71,2,4,70
9,87,8,56,1,3,65
21,79,8,52,1,3,66
19,76,5,66,2,4,66
24,75,9,95,0,2,68
21,86,5,57,1,3,68
15,80,5,90,4,3,69
18,94,4,71,3,3,71
15,95,8,90,2,1,69
26,67,5,94,0,2,68
20,65,6,100,2,5,67
31,85,8,53,2,3,72
20,72,7,90,2,3,68
16,61,6,53,0,4,60
11,96,5,66,2,4,68
9,69,7,82,1,2,65
10,97,8,72,0,3,67
22,89,8,78,4,3,70
23,91,10,98,0,3,70
11,68,6,91,3,2,61
25,69,5,68,2,4,68
17,81,7,80,1,3,67
21,67,7,52,3,3,62
30,72,7,73,0,4,66
25,73,6,80,3,2,69
18,66,4,86,2,4,66
15,68,5,95,0,5,64
7,92,8,64,1,4,66
16,67,7,95,2,5,63
19,61,8,83,1,3,62
14,85,8,54,1,4,65
19,99,8,69,0,2,68
20,73,8,74,1,4,65
19,65,7,68,1,4,63
16,83,7,56,3,2,68
21,96,4,78,2,2,72
23,91,6,57,2,3,69
13,85,6,96,1,5,66
28,73,7,93,2,3,68
19,82,6,74,1,2,64
20,64,8,53,1,2,61
24,87,6,78,0,2,67
21,89,9,80,0,3,68
26,99,6,94,2,3,74
22,70,6,53,3,2,67
16,61,6,85,2,3,64
22,82,6,78,3,3,69
13,88,9,59,0,3,63
21,92,7,56,0,4,67
20,68,7,85,1,3,65
19,70,6,67,5,4,67
19,81,7,100,1,5,68
9,73,7,95,3,3,62
17,94,7,78,1,3,70
21,79,7,82,1,3,67
21,92,9,58,2,5,89
14,83,7,95,1,2,65
28,91,5,73,2,2,69
15,73,7,76,2,4,64
26,93,6,94,6,4,74
23,71,8,50,0,2,64
16,82,7,75,0,2,64
31,69,9,81,2,2,67
13,79,6,58,2,4,63
26,73,7,53,3,5,68
26,71,5,77,0,5,66
16,99,7,77,0,3,68
28,66,5,67,1,1,68
18,91,7,94,3,2,69
22,99,7,65,3,3,71
22,61,7,76,1,3,65
19,88,8,59,2,4,67
25,70,7,51,1,4,65
25,62,5,71,0,4,65
10,76,6,76,1,2,80
28,97,7,88,2,2,74
10,60,7,72,3,3,59
26,84,7,64,2,3,69
27,80,9,80,0,2,66
13,95,7,69,1,2,66
18,63,8,62,2,4,65
13,87,4,96,3,3,67
19,87,8,77,3,4,69
18,87,10,60,2,3,68
25,98,9,84,1,2,73
28,93,6,90,1,2,71
28,62,10,88,0,2,67
17,79,7,80,1,3,67
19,76,7,76,0,2,66
10,72,7,89,3,4,63
15,78,7,85,1,1,65
26,75,4,79,2,1,67
30,77,8,83,1,3,69
13,99,7,58,1,2,67
16,64,7,51,4,3,66
20,97,7,97,2,4,74
22,79,6,97,2,2,69
15,85,7,89,0,4,66
23,93,9,69,0,3,69
17,74,8,58,1,2,63
20,77,7,68,0,3,65
23,76,7,86,1,4,64
20,75,7,67,0,4,64
17,97,6,90,2,2,69
19,93,7,84,5,3,73
19,64,8,81,1,3,62
18,64,7,97,2,4,62
18,77,6,95,0,2,68
30,64,7,86,1,3,66
23,85,8,60,2,1,68
18,66,5,97,4,4,66
24,81,6,61,3,3,69
18,60,5,69,0,2,62
27,73,7,91,2,4,68
22,87,8,60,2,2,67
19,79,9,82,1,4,65
23,99,9,73,0,4,69
11,95,6,81,2,3,67
13,74,7,98,0,3,64
13,62,6,90,3,3,62
21,94,9,65,5,3,71
30,96,9,53,0,3,72
33,93,7,98,0,2,74
24,65,6,79,1,2,66
23,100,4,59,2,4,72
9,70,5,81,1,4,65
17,89,4,52,0,3,67
15,96,5,59,2,2,70
16,69,10,82,0,1,62
19,96,5,70,0,2,66
17,72,5,66,2,3,65
8,99,6,83,2,4,70
24,71,10,93,2,2,69
14,98,7,84,3,3,70
21,62,8,73,2,2,66
32,88,7,83,1,4,73
14,81,4,85,3,4,69
5,79,9,89,3,3,66
18,69,8,65,4,4,65
27,88,7,56,2,4,70
32,68,10,84,0,2,70
13,82,6,56,2,4,67
23,70,7,73,1,3,68
17,98,6,62,1,2,68
19,61,9,67,0,2,61
36,68,8,74,2,3,70
11,70,7,95,0,5,65
22,77,5,84,3,2,66
23,69,6,59,3,3,67
27,80,5,94,3,3,69
21,95,9,75,1,2,69
22,88,5,60,1,2,67
18,83,9,76,0,4,66
22,64,9,60,1,2,63
18,88,6,68,0,4,67
24,67,6,90,0,1,64
18,91,6,83,2,4,68
22,70,8,74,2,2,65
20,77,9,61,2,3,65
27,74,9,64,1,3,65
20,94,6,99,0,4,70
9,65,9,67,1,3,62
28,83,9,81,0,4,68
15,66,7,75,0,3,62
16,88,7,51,0,3,68
16,96,9,97,0,5,72
28,77,9,54,1,3,70
7,80,9,83,3,3,62
39,97,10,91,2,3,79
26,81,8,87,2,1,73
21,80,7,90,1,2,68
20,83,9,87,0,2,68
22,88,10,72,2,2,69
23,64,6,95,1,2,63
24,93,7,96,5,4,74
23,77,5,72,2,5,69
21,63,8,74,0,3,61
19,91,8,74,4,2,69
19,75,6,64,2,3,64
19,64,9,56,2,4,63
27,85,6,63,1,2,68
24,95,6,92,2,3,72
2,96,9,77,3,2,65
24,98,6,93,2,4,69
21,95,5,87,2,4,70
20,60,8,67,1,4,63
18,75,7,59,0,2,62
27,93,9,78,1,2,72
26,75,8,97,1,4,69
15,84,4,92,2,3,66
22,84,9,88,2,4,71
14,75,10,88,2,3,62
12,96,9,76,2,2,68
16,80,9,58,0,2,63
25,79,7,64,0,3,66
26,100,6,79,1,3,75
23,80,7,66,1,4,69
24,67,8,89,2,3,68
23,81,8,69,5,2,69
